123,0,bumper,4
123,1,bumper,4
123,2,bumper,4
123,3,bumper,4
123,4,bumper,4
123,5,bumper,4
123,6,bumper,4
123,7,bumper,4
123,8,bumper,4
123,9,bumper,4
123,10,bumper,4
123,11,bumper,4
123,12,bumper,4
123,13,bumper,4
123,14,bumper,4
123,15,bumper,4
123,16,bumper,4
123,17,bumper,4
123,18,bumper,4
123,19,bumper,4
123,20,bumper,4
123,21,bumper,4
123,22,bumper,4
123,23,bumper,4
123,24,bumper,4
123,25,bumper,4
123,26,bumper,4
123,27,bumper,4
123,28,bumper,4
123,29,bumper,4
123,30,bumper,4
123,31,bumper,4
123,32,bumper,4
123,33,bumper,4
123,34,bumper,4
123,35,bumper,4
123,36,bumper,4
123,37,bumper,4
123,38,bumper,4
123,39,bumper,4
123,40,bumper,4
123,41,bumper,4
123,42,bumper,4
123,43,bumper,4
123,44,bumper,4
123,45,bumper,4
123,46,bumper,4
123,47,bumper,4
123,48,bumper,4
123,49,bumper,4
123,50,bumper,4
123,51,bumper,4
123,52,bumper,4
123,53,bumper,4
123,54,bumper,4
123,55,bumper,4
123,56,bumper,4
123,57,bumper,4
123,58,bumper,4
123,59,bumper,4
123,60,bumper,4
123,61,bumper,4
123,62,bumper,4
123,63,bumper,4
123,64,bumper,4
123,65,bumper,4
123,66,bumper,4
123,67,bumper,4
123,68,bumper,4
123,69,bumper,4
123,70,bumper,4
123,71,bumper,4
123,72,bumper,4
123,73,bumper,4
123,74,bumper,4
123,75,bumper,4
123,76,bumper,4
123,77,bumper,4
123,78,bumper,4
123,79,bumper,4
123,80,bumper,4
123,81,bumper,4
123,82,bumper,4
123,83,bumper,4
123,84,bumper,4
123,85,bumper,4
123,86,bumper,4
123,87,bumper,4
123,88,bumper,4
123,89,bumper,4
123,90,bumper,4
123,91,bumper,4
123,92,bumper,4
123,93,bumper,4
123,94,bumper,4
123,95,bumper,4
123,96,bumper,4
123,97,bumper,4
123,98,bumper,4
123,99,bumper,4
